year,occupation_group,count
1850,Business / Owner,3309
1850,Skilled Trades,3012
1850,Other / Unknown,2922
1850,Professional,1148
1850,Labor,835
1850,Domestic / Service,583
1850,Clerical / Administrative,514
1850,Transport / Maritime,133
1850,Public / Civic,48
1851,Business / Owner,3393
1851,Other / Unknown,2888
1851,Skilled Trades,2681
1851,Professional,1172
1851,Labor,621
1851,Domestic / Service,576
1851,Clerical / Administrative,468
1851,Transport / Maritime,140
1851,Public / Civic,34
1852,Business / Owner,5604
1852,Skilled Trades,5274
1852,Other / Unknown,4399
1852,Professional,1496
1852,Labor,1404
1852,Domestic / Service,1110
1852,Clerical / Administrative,860
1852,Transport / Maritime,204
1852,Public / Civic,73
1853,Business / Owner,6507
1853,Skilled Trades,5984
1853,Other / Unknown,4915
1853,Professional,1672
1853,Labor,1411
1853,Domestic / Service,1204
1853,Clerical / Administrative,1056
1853,Transport / Maritime,185
1853,Public / Civic,78
1854,Business / Owner,7547
1854,Skilled Trades,6995
1854,Other / Unknown,5820
1854,Professional,1899
1854,Labor,1459
1854,Domestic / Service,1309
1854,Clerical / Administrative,1292
1854,Transport / Maritime,220
1854,Public / Civic,127
